GO:0000811	GINS complex	108007467 108012665 108012665 108014064 108019088
GO:0000812	Swr1 complex	108007647 108008541 108009063 108012039 108018910 118877514 139353997
GO:0000813	ESCRT I complex	108006670 108006951 108016368 108016614 108016614 108016632 108019807 108019807
GO:0000814	ESCRT II complex	108012557 108016182 108016182 108019668 108019668
GO:0000815	ESCRT III complex	108005821 108009365 108010274 108011659 108014465 108015539 118878100
GO:0000819	sister chromatid segregation	108020395
GO:0000822	inositol hexakisphosphate binding	108011433 108016179 108016799 108019160 108019889
GO:0000828	inositol hexakisphosphate kinase activity	108005076 108009439
GO:0000829	diphosphoinositol pentakisphosphate kinase activity	108005076
GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex	108007817 118877780
GO:0000900	mRNA regulatory element binding translation repressor activity	108011135 108012866 108014136 108014865 139353290 139353291
GO:0000902	cell morphogenesis	108004602 108007448 108009550 108009765 108012860 108014479 108014792 108014867 108015501 108021034
GO:0000915	actomyosin contractile ring assembly	108009452 108018007
GO:0000922	spindle pole	108005361 108005770 108005850 108006913 108008714 108010671 108010798 108013324 108013721 108014562 108014663 108015212 108015345 108015801 108017306 108018275 108021282 108021504 139353921
GO:0000923	equatorial microtubule organizing center	108005361 108005770 108013721 108014663 108015345 108015801 108021282
GO:0000930	gamma-tubulin complex	108005361 108005770 108008281 108008281 108013721 108014089 108014663 108015345 108015801 108017674 108017674 108021282
GO:0000931	gamma-tubulin ring complex	108012459 108012459 118877577
GO:0000932	P-body	108004786 108004871 108004907 108006457 108006518 108007172 108008399 108009071 108009942 108010223 108010309 108010801 108011751 108012704 108013046 108013055 108014668 108015024 108015778 108016008 108016244 108018085 108018100 108020377 108020535 108020890 139354519
GO:0000938	GARP complex	108015412 108019883 108021344 108021484
GO:0000956	nuclear-transcribed mRNA catabolic process	108005308 108009249 108009319 108009991 108015183 108020890
GO:0000958	mitochondrial mRNA catabolic process	108010834
GO:0000963	mitochondrial RNA processing	108020520
GO:0000965	mitochondrial RNA 3'-end processing	108010834 108011648
GO:0000971	obsolete tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate	108005306
GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	108008266 108008353 108021073 118877638
GO:0000973	post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery	108010699 108011898 108021117
GO:0000974	Prp19 complex	108005188 108008637 108011660 108012803 108016599 108017462 108018233 108019600
GO:0000976	transcription cis-regulatory region binding	108004940 108005661 108007153 108007811 108009799 108010054 108011217 108011473 108012412 108013011 108013398 108015129 108018895 108019729 108020231 108020499 108020569 118877721
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	108004712 108004901 108004997 108005162 108005491 108005944 108006036 108006127 108006729 108007373 108007451 108007606 108007787 108007800 108007929 108007964 108007979 108007991 108008188 108008222 108008291 108008558 108008625 108008682 108008709 108008761 108009089 108009393 108009944 108010188 108010584 108010728 108010783 108011222 108011712 108011758 108011840 108011940 108012284 108012304 108012572 108012801 108012803 108013111 108013222 108013475 108014050 108014581 108014609 108014810 108014972 108014974 108014983 108014988 108015044 108015107 108015322 108015427 108015961 108016473 108016623 108016692 108016700 108016723 108016728 108016925 108016932 108017058 108017611 108018449 108018462 108018623 108018916 108019134 108019171 108019796 108019885 108019897 108020060 108020156 108020398 108020398 108020536 108020725 108020949 108021101 108021292 108021333 108021521 108021547 108021641 108021644 108021672 118876778 118877069 118877125 118877582 136116549 136116997 139354509
